mean_test_score,model
0.7570091928596532,KNN
0.7552189710559467,KNN
0.764544943610414,KNN
0.7634186857568529,KNN
0.7569803244993761,KNN
0.7552189710559467,KNN
0.7659307416109196,KNN
0.7647178870127558,KNN
0.7569803244993761,KNN
0.755247839416224,KNN
0.7655554529273169,KNN
0.7643425899929243,KNN
0.7570091928596532,KNN
0.7552189710559467,KNN
0.764544943610414,KNN
0.7634186857568529,KNN
0.6989447251293155,RandomForest
0.7185573800072176,RandomForest
0.6986999278238903,RandomForest
0.7207628112594732,RandomForest
0.6993122218212439,RandomForest
0.7215003608805485,RandomForest
0.6977195356670276,RandomForest
0.7201488632262721,RandomForest
0.7065450198484301,RandomForest
0.7184348309876097,RandomForest
0.6980879345603273,RandomForest
0.7213749548899313,RandomForest
